tu,dinh_nghia
lưu dụng,được giữ lại và cung cấp những điều kiện để làm việc tiếp
máy hơi nước,"động cơ nhiệt, biến đổi năng lượng hơi nước thành cơ năng"
nước giải,"nước do thận bài tiết, thải ra ngoài bằng đường tiểu tiện"
lẵng đẵng,mất nhiều thời gian vào một công việc mà không có kết quả
tít,đầu đề hoặc câu hoàn chỉnh giới thiệu sơ nội dung bài báo
lê,dùng sức của khuỷu tay và chân chuyển người sang chỗ khác
chủ bút,người đứng đầu trong việc biên tập một tờ báo hay tạp chí
ngọc bích,"đá có vân màu sặc sỡ, dùng làm đá trang trí, đồ trang sức"
ca kỹ,người phụ nữ sống bằng nghề hát xướng và mại dâm thời xưa
vỡ,Không còn nguyên khối do không chịu nổi tác động của lực.
rá,"đồ bằng nhôm hoặc đan bằng tre có nhiều lỗ nhỏ, để vo gạo"
cò,"chim chân cao, cổ dài, mỏ dài nhọn, sống gần nước bắt tép"
dệt,làm cho sợi kết vào nhau thành tấm bằng máy hoặc bằng tay
ảnh,"hình của vật nhìn thấy qua một tấm gương, thấu kính, v.v."
tang,(toán học) tỉ số của sin của một góc với cosin của góc ấy
tam tam chế,hình thức biên chế ba đơn vị nhỏ thành một đơn vị lớn hơn
cảnh sát,"người chuyên giữ gìn an ninh, chính trị và trật tự xã hội"
tri ngộ,giá trị của người nào đó ít ai biết đến và được coi trọng
tứ quý,"bốn loại cây tiêu biểu cho bốn mùa: mai, thông, cúc, trúc"
lễ,"tổ chức long trọng nhằm đánh dấu một sự kiện, sự việc lớn"
đá bóng,cuộc thi thể thao mà hai bên đá quả bóng vào gôn của nhau
nòng,tờ giấy đặt dưới một tờ giấy trắng để viết cho thẳng hàng
tắc kè,"loài thằn lằn sống trên cây, kêu ""tắc kè"", dùng làm thuốc"
kiềng,"vòng bằng kim loại quý, phụ nữ và trẻ con thường đeo ở cổ"
mao dẫn,chất lỏng dẫn từ dưới lên trên theo những ống hết sức nhỏ
ông tổ,người sinh ra một dòng họ hoặc người sáng tạo ra một nghề
mạch lươn,"nhọt ở đầu trẻ con, ăn luồn thành những đường dài dưới da"
thế năng,năng lượng dự trữ do vị trí tương đối hoặc cấu trúc mà có
ngồi lê,"ngồi hết chỗ này đến chỗ khác, nói những chuyện không đâu"
thế giới,toàn thể cộng đồng người có những đặc trưng về mặt nào đó
hồng thập tự,tổ chức quốc tế chuyên cứu giúp nạn nhân của thiên tai...
cháy,tham gia một phản ứng hoá học có toả ra nhiệt và ánh sáng
khí tượng học,khoa học nghiên cứu các hiện tượng xảy ra trong khí quyển
đất liền,"phần đất ở xa biển, nối liền nhau thành một vùng rộng lớn"
phát mại,chính quyền cho phép bán công khai tài sản đã bị tịch thu
phát chẩn,"cho tiền, gạo để giúp những người nghèo hoặc bị thiên tai"
trùng phương,(toán học) một phương trình có ẩn số chỉ ở bậc 2 và bậc 4
mâm pháo,bộ phận để ngồi hoặc đứng của pháo thủ để điều khiển pháo
dấu,"vật bằng gỗ, đồng có khắc chữ, đóng trên giấy tờ, văn bản"
đai,"nói nhiều lần một việc, để tỏ sự không bằng lòng của mình"
hàu,"trai có vỏ xù xì, sống ven biển, vỏ bám vào đá, thành tàu"
tạp số,những số có bội số và ước số không thuộc hệ đếm thập phân
xếp,"Đặt, chồng lên nhau theo đúng hàng lối, thứ tự nhất định."
nón chóp,"nón xưa dùng cho đàn ông, có chóp bằng kim loại trên đỉnh"
còn,"quả cầu bằng vải để tung, ném làm trò chơi trong ngày hội"
trắc viễn,kính để đo khoảng cách từ nơi quan sát đến vị trí của vật
sắc,"tên gọi một thanh điệu của tiếng Việt, kí hiệu bằng "" ' """
hầm,"khoảng trống đào trong lòng đất, làm nơi ẩn nấp, cất giấu"
in tay,ấn đầu ngón tay có bôi mực lên tờ giấy để lấy nét hoa tay
nỏ,"vũ khí hình cái cung, có cán cầm, căng bật dây để bắn tên"
sắn dây,"cây leo cùng họ đậu, rễ củ dài chứa nhiều tinh bột, để ăn"
lao công,"người làm việc chân tay đơn giản trong cơ quan, xí nghiệp"
mợ,"từ gọi người đàn bà trẻ có chồng là công chức, thời trước"
răn,khuyên bảo điều hơn lẽ phải để biết mà tránh làm việc xấu
giảm,"làm cho hoặc trở nên ít đi, bớt đi về số lượng hay mức độ"
rầm,"thanh vật liệu cứng, đặt ngang để đỡ các bộ phận bên trên"
rắn hổ mang,"rắn độc, đầu hình tam giác, hàm dưới bạnh ra như cái mang"
doi,phần biển có mực nước nông hơn so với các vùng xung quanh
hợp âm,âm hưởng có độ cao khác nhau cùng phát ra một lúc tạo nên
tin đồn,tin được truyền miệng và không có gì bảo đảm là chính xác
tiểu luận,"bài nghiên cứu bước đầu về một vấn đề khoa học, chính trị"
mày,từ để gọi ngôi thứ hai hoặc gọi thân mật người ngang hàng
ưỡn ẹo,"Mềm mại, duyên dáng nhưng thiếu tự nhiên, không đứng đắn."
nghi môn,"diềm thêu treo ở cửa chính hoặc trước bàn thờ, thời trước"
nòi,"nhóm động vật thuộc một loài, có đặc tính di truyền chung"
chặt,làm đứt ngang bằng những vật có lưỡi sắt giáng mạnh xuống
bấm,đặt ngón tay vào các đốt những ngón tay khác để tính toán
xước,"Loài cỏ thuộc họ rau giền, hoa có gai, rễ dùng làm thuốc."
đàn áp,"chèn ép hoạt động bằng những quyền hành bất công, tàn bạo"
người nhái,người có trang bị kĩ thuật lặn để hoạt động lâu dưới nước
giả hiệu,"chỉ trên danh nghĩa, để đánh lừa chứ thực chất không phải"
âm nhạc,nghệ thuật dùng âm thanh để diễn đạt tư tưởng và tình cảm
sâm cầm,"chim sống ở nước, trông giống con cuốc, thịt thơm và ngon"
tẻ,từ gọi để phân loại một vài thứ thực phẩm không được ngon
trước bạ,"đăng ký quyền sở hữu tài sản, theo quy định của pháp luật"
cú,"chim ăn thịt, kiếm mồi ban đêm, có mắt lớn phía trước mặt"
trúng thực,hệ tiêu hoá của cơ thể rối loạn do ăn phải thức ăn có độc
tiêu khiển,"làm thoải mái tinh thần bằng những thú vui nhỏ, nhẹ nhàng"
pháo cối,thứ pháo đốt chơi gồm một tràng pháo tiểu có xen pháo đại
lưới,"đồ bằng sợi đan căng ở giữa sân bóng chuyền, quần vợt,..."
bấn,khó khăn do thiếu người hoặc thiếu thì giờ để làm việc gì
quay,"đồ chơi bằng gỗ hay sừng, khi chơi thì đánh cho quay tít"
thủ mưu,người lập ra mưu kế để thực hiện một hành động phạm pháp
mẹ già,"người vợ cả, trong quan hệ với con người vợ lẽ của chồng"
quàn,đặt tạm linh cữu tại một nơi để viếng trước khi mai táng
thuốc cao,"thuốc đông y quyện thành chất quánh, thường bôi ngoài da"
lợn gạo,"lợn bị bệnh sán, thịt có lốm đốm trắng như những hạt gạo"
quần đảo,tập hợp nhiều đảo ở gần nhau trong một khu vực nhất định
vung,"Giơ lên và làm động tác rất nhanh, hướng tới phía trước."
ngao,"lượng thuốc phiện chứa trong một chiếc vỏ đó, thời trước"
nhân luân,"đạo đức giữa con người với nhau, theo quan niệm nho giáo"
biết,nhận rõ thực chất hoặc giá trị để được đối xử thích đáng
múi,"phần góc của mảnh vải, chăn,... hoặc đầu mối của sợi dây"
bắt bí,lợi dụng lúc người khác khó khăn để đòi điều kiện này nọ
mình,"phần cơ thể người, động vật không kể đầu, đuôi, tay chân"
tế độ,"cứu vớt chúng sinh khỏi bể khổ, theo thuyết của đạo Phật"
thả,"cho vào môi trường thích hợp để dễ hoạt động, phát triển"
gián quan,"quan giữ việc khuyên ngăn, can gián vua, thời phong kiến"
ngư lôi,vũ khí dùng dưới mặt nước để đánh phá tàu chiến của địch
chiên,"đồ dệt bằng lông thú hay bằng xơ bông, dùng làm chăn nệm"
dành dành,"cây nhỏ, hoa trắng thơm, quả dùng để nhuộm hay làm thuốc"
bán buôn,bán với số lượng lớn cho người kinh doanh bán lẻ; bán sỉ
hệ thống,"tập hợp nhiều yếu tố, chức năng làm thành thể thống nhất"
thanh toán,"giải quyết cho xong, chấm dứt cái còn tồn tại, vướng mắc"
phiên dịch,dịch chuyển ý từ một ngôn ngữ này sang một ngôn ngữ khác
cao nguyên,vùng đất rộng và cao có bề mặt bằng phẳng hoặc lượn sóng
hào,"đường đào rộng và sâu để đi lại, vận chuyển được an toàn"
tứ khoái,"bốn thứ vui vật chất: ăn, ngủ, đại tiểu tiện và tình dục"
sâu,"ấu trùng của sâu bọ, có hại trong môi trường nông nghiệp"
giáo khoa,(kế hợp han chế) thuộc về những môn dạy học ở trường học
diệt chủng,"giết hàng loạt có phương pháp, làm cho mất hẳn giống nòi"
trực tâm,(toán học) giao điểm của ba đường cao trong một tam giác
trắc lượng,xác định kích thước của diện tích dùng vào việc canh tác
bản sao,"bản được chép hay in lại từ văn bản chính, có chứng thực"
tâm can,"tim, gan biểu tượng những tình cảm sâu kín của con người"
phát tán,các bộ phận sinh sản của sinh vật rải rộng ra xung quanh
khẩu hiệu,"câu có nội dung ngắn gọn, đưa ra để động viên quần chúng"
căn cứ,nơi làm chỗ dựa cho các hoạt động chính trị hoặc quân sự
nòng nọc,"ếch nhái còn non, có đuôi, thở bằng mang, sống dưới nước"
dấu thánh giá,dấu người theo đạo ki-tô đặt bàn tay lên trán và hai vai
dân luật,ngành luật có nhiệm vụ điều chỉnh về mối quan hệ tài sản
dân sự,"việc thuộc quyền tài sản, hôn nhân,..., do toà án xét xử"
lễ nghĩa,những phép tắc cư xử sao cho phải đạo người trên kẻ dưới
phút,"đơn vị đo góc phẳng, góc quay, bằng một phần sáu mươi độ"
bệ,"xây hoặc đắp bằng gạch, đá cho cao để làm nơi đặt vật gì"
thụt,dẫn nước hoặc thuốc vào cơ thể qua hậu môn hoặc cửa mình
tập đoàn,"tập hợp những người có chung một xu hướng, một công việc"
phản tỉnh,"nhìn lại hành động, tư tưởng của mình để thấy ra lỗi lầm"
trương tuần,"người đứng đầu việc tuần đinh ở làng, xã thời phong kiến"
thịt,"phần mềm, bọc quanh xương trong cơ thể người và động vật"
phân rác,"phân bón ủ từ rác, cỏ và các chất thải trong nông nghiệp"
du mục,những bộ lạc chuyên chăn nuôi và không ở cố định một nơi
ao,"khoảng đất trũng giữ nước nuôi cá, thả bèo, trồng rau..."
hải quan,cơ quan phụ trách việc đánh thuế hàng hoá xuất nhập cảnh
tài khoản,sổ ghi tình hình biến động của các loại vốn và nguồn vốn
đồ,"giam người và bắt làm khổ sai, hình phạt thời phong kiến"
đua đòi,bắt chước những việc không hay vì không muốn thua kém ai
be,"đồ bằng sành hay sứ, bầu tròn, cổ dài, dùng để đựng rượu"
gia đinh,"người đầy tớ trai trong một gia đình giàu có, thời trước"
kiệu tay,"hai trẻ bắt tréo tay nhau, để một trẻ khác ngồi lên trên"
sĩ diện,làm ra vẻ không thua kém ai cho người ta khỏi coi thường
nghị sĩ,người được bầu vào nghị viện của một nước dân chủ tư sản
tham nhũng,"lợi dụng quyền hành để gây phiền hà, quấy nhiễu nhân dân"
u,khối thịt nổi trên cơ thể tự nhiên mà có hoặc do va mạnh
uy danh,"quyền lực, danh tiếng khiến cho người khác phải nể trọng"
tính nhẩm,"làm một bài tính trong miệng, trong đầu mà không viết ra"
phóng sinh,"thả những chim, cá vào ngày rằm tháng bảy, theo đạo Phật"
